USERS: 49
ITERATIONS: 300
ITERATION: 1
24 4 49
25 13 1
26 17 8
27 36 2
28 36 38
29 41 32
30 36 19
31 38 22
32 4 35
33 0 47
34 22 30
35 40 41
36 17 15
37 36 46
38 16 1
39 13 16
40 0 2
41 40 19
42 23 48
43 20 38
44 16 30
45 20 5
46 46 26
47 5 29
48 29 26
49 30 24
ITERATION: 12
1 13 2
2 17 45
3 30 32
4 35 2
5 30 10
6 0 6
7 20 45
8 38 21
9 4 32
10 16 21
11 33 47
12 0 29
13 8 6
14 42 12
15 10 47
16 42 21
17 28 42
18 12 42
19 32 23
20 3 20
21 41 34
22 31 13
23 43 15
24 4 49
25 14 2
26 18 9
27 37 3
28 37 39
29 42 33
30 37 20
31 39 23
32 5 36
33 1 48
34 23 31
35 41 42
36 18 16
37 37 47
38 17 2
39 14 17
40 0 2
41 41 20
42 24 49
43 21 39
44 17 31
45 21 6
46 47 27
47 6 30
48 30 27
49 31 25
ITERATION: 13
1 12 3
2 16 46
3 29 33
4 34 3
5 29 11
6 0 6
7 19 46
8 37 22
9 3 33
10 15 22
11 32 48
12 0 28
13 7 7
14 41 13
15 9 48
16 41 22
17 27 43
18 11 43
19 31 24
20 2 21
21 40 35
22 30 14
23 42 16
24 3 49
25 13 3
26 17 10
27 36 4
28 36 40
29 41 34
30 36 21
31 38 24
32 4 37
33 0 49
34 22 32
35 40 43
36 17 17
37 36 48
38 16 3
39 13 18
40 1 2
41 40 21
42 24 49
43 20 40
44 16 32
45 20 7
46 46 28
47 5 31
48 29 28
49 30 26
ITERATION: 14
1 11 3
2 15 46
3 28 33
4 33 3
5 28 11
6 0 6
7 18 46
8 36 22
9 2 33
10 14 22
11 31 48
12 0 28
13 6 7
14 40 13
15 8 48
16 40 22
17 26 43
18 10 43
19 30 24
20 1 21
21 39 35
22 29 14
23 41 16
24 3 49
25 12 3
26 16 10
27 35 4
28 35 40
29 40 34
30 35 21
31 37 24
32 3 37
33 1 48
34 21 32
35 39 43
36 16 17
37 35 48
38 15 3
39 12 18
40 0 2
41 39 21
42 24 49
43 19 40
44 15 32
45 19 7
46 45 28
47 4 31
48 28 28
49 29 26
ITERATION: 15
1 12 4
2 16 47
3 29 34
4 34 4
5 29 12
6 1 5
7 19 47
8 37 23
9 3 34
10 15 23
11 32 49
12 1 28
13 7 8
14 41 14
15 9 49
16 41 23
17 27 44
18 11 44
19 31 25
20 2 22
21 40 36
22 30 15
23 42 17
24 4 48
25 13 4
26 17 11
27 36 5
28 36 41
29 41 35
30 36 22
31 38 25
32 4 38
33 2 49
34 22 33
35 40 44
36 17 18
37 36 49
38 16 4
39 13 19
40 0 3
41 40 22
42 25 48
43 20 41
44 16 33
45 20 8
46 46 29
47 5 32
48 29 29
49 30 27
ITERATION: 16
1 12 5
2 16 48
3 29 35
4 34 5
5 29 13
6 1 6
7 19 48
8 37 24
9 3 35
10 15 24
11 33 49
12 1 29
13 7 9
14 41 15
15 8 48
16 41 24
17 27 45
18 11 45
19 31 26
20 2 23
21 40 37
22 30 16
23 42 18
24 4 49
25 13 5
26 17 12
27 36 6
28 36 42
29 41 36
30 36 23
31 38 26
32 4 39
33 3 49
34 22 34
35 40 45
36 17 19
37 37 48
38 16 5
39 13 20
40 0 4
41 40 23
42 25 49
43 20 42
44 16 34
45 20 9
46 46 30
47 5 33
48 29 30
49 30 28
ITERATION: 17
1 11 6
2 15 49
3 28 36
4 33 6
5 28 14
6 0 7
7 18 49
8 36 25
9 2 36
10 14 25
11 33 49
12 0 30
13 6 10
14 40 16
15 7 49
16 40 25
17 26 46
18 10 46
19 30 27
20 1 24
21 39 38
22 29 17
23 41 19
24 3 49
25 12 6
26 16 13
27 35 7
28 35 43
29 40 37
30 35 24
31 37 27
32 3 40
33 4 49
34 21 35
35 39 46
36 16 20
37 36 49
38 15 6
39 12 21
40 1 5
41 39 24
42 26 49
43 19 43
44 15 35
45 19 10
46 45 31
47 4 34
48 28 31
49 29 29
ITERATION: 18
1 10 5
2 14 49
3 27 35
4 32 5
5 27 13
6 1 8
7 19 48
8 35 24
9 1 35
10 13 24
11 33 49
12 0 30
13 5 9
14 39 15
15 7 48
16 39 24
17 25 45
18 9 45
19 29 26
20 0 23
21 38 37
22 28 16
23 40 18
24 3 49
25 11 5
26 15 12
27 34 6
28 34 42
29 39 36
30 34 23
31 36 26
32 2 39
33 4 49
34 20 34
35 38 45
36 15 19
37 36 49
38 14 5
39 11 20
40 0 4
41 38 23
42 27 48
43 18 42
44 14 34
45 18 9
46 44 30
47 3 33
48 27 30
49 28 28
ITERATION: 19
1 9 4
2 13 49
3 26 34
4 31 4
5 26 12
6 0 7
7 18 47
8 34 23
9 0 34
10 12 23
11 33 49
12 1 29
13 4 8
14 38 14
15 6 47
16 38 23
17 24 44
18 8 44
19 28 25
20 1 22
21 37 36
22 27 15
23 39 17
24 3 49
25 10 4
26 14 11
27 33 5
28 33 41
29 38 35
30 33 22
31 35 25
32 1 38
33 4 49
34 19 33
35 37 44
36 14 18
37 36 49
38 13 4
39 10 19
40 1 4
41 37 22
42 26 47
43 17 41
44 13 33
45 17 8
46 43 29
47 2 32
48 26 29
49 27 27
ITERATION: 20
1 9 5
2 13 49
3 26 35
4 31 5
5 26 13
6 0 7
7 18 48
8 34 24
9 0 34
10 12 24
11 34 49
12 1 30
13 4 9
14 38 15
15 6 48
16 38 24
17 24 45
18 8 45
19 28 26
20 1 23
21 37 37
22 27 16
23 39 18
24 3 49
25 10 5
26 14 12
27 33 6
28 33 42
29 38 36
30 33 23
31 35 26
32 1 39
33 3 48
34 19 34
35 37 45
36 14 19
37 35 49
38 13 5
39 10 20
40 1 5
41 37 23
42 26 48
43 17 42
44 13 34
45 17 9
46 43 30
47 2 33
48 26 30
49 27 28
ITERATION: 21
1 8 4
2 13 49
3 25 34
4 30 4
5 25 12
6 0 7
7 17 47
8 33 23
9 0 35
10 11 23
11 33 48
12 0 29
13 3 8
14 37 14
15 5 47
16 37 23
17 23 44
18 7 44
19 27 25
20 0 22
21 36 36
22 26 15
23 38 17
24 2 49
25 9 4
26 13 11
27 32 5
28 32 41
29 37 35
30 32 22
31 34 25
32 0 38
33 2 47
34 18 33
35 36 44
36 13 18
37 34 49
38 12 4
39 9 19
40 0 4
41 36 22
42 25 47
43 16 41
44 12 33
45 16 8
46 42 29
47 1 32
48 25 29
49 26 27
ITERATION: 22
1 7 3
2 12 49
3 24 33
4 29 3
5 24 11
6 0 7
7 16 46
8 32 22
9 1 36
10 10 22
11 32 47
12 0 28
13 2 7
14 36 13
15 4 46
16 36 22
17 22 43
18 6 43
19 26 24
20 0 22
21 35 35
22 25 14
23 37 16
24 2 49
25 8 3
26 12 10
27 31 4
28 31 40
29 36 34
30 31 21
31 33 24
32 0 38
33 1 46
34 17 32
35 35 43
36 12 17
37 33 49
38 11 3
39 8 18
40 0 3
41 35 21
42 24 46
43 15 40
44 11 32
45 15 7
46 41 28
47 0 31
48 24 28
49 25 26
ITERATION: 23
1 8 3
2 12 49
3 25 33
4 30 3
5 25 11
6 1 8
7 17 46
8 33 22
9 2 36
10 11 22
11 33 47
12 1 28
13 3 7
14 37 13
15 5 46
16 37 22
17 23 43
18 7 43
19 27 24
20 0 22
21 36 35
22 26 14
23 38 16
24 3 49
25 9 3
26 13 10
27 32 4
28 32 40
29 37 34
30 32 21
31 34 24
32 0 38
33 2 46
34 18 32
35 36 43
36 13 17
37 33 49
38 12 3
39 9 18
40 0 4
41 36 21
42 25 46
43 16 40
44 12 32
45 16 7
46 42 28
47 0 32
48 25 28
49 26 26
ITERATION: 24
1 9 4
2 13 49
3 26 34
4 31 4
5 26 12
6 2 9
7 18 47
8 34 23
9 3 37
10 12 23
11 34 48
12 2 29
13 4 8
14 38 14
15 6 47
16 38 23
17 24 44
18 8 44
19 28 25
20 1 22
21 37 36
22 27 15
23 39 17
24 3 49
25 10 4
26 14 11
27 33 5
28 33 41
29 38 35
30 33 22
31 35 25
32 1 37
33 3 47
34 19 33
35 37 44
36 14 18
37 34 49
38 13 4
39 10 19
40 0 3
41 37 22
42 26 47
43 17 41
44 13 33
45 17 8
46 43 29
47 0 33
48 26 29
49 27 27
ITERATION: 25
1 8 3
2 13 49
3 25 33
4 30 3
5 25 11
6 1 8
7 17 46
8 33 22
9 2 36
10 11 22
11 33 47
12 1 28
13 3 7
14 37 13
15 5 46
16 37 22
17 23 43
18 7 43
19 27 24
20 0 21
21 36 35
22 26 14
23 38 16
24 4 48
25 9 3
26 13 10
27 32 4
28 32 40
29 37 34
30 32 21
31 34 24
32 0 36
33 2 46
34 18 32
35 36 43
36 13 17
37 33 49
38 12 3
39 9 18
40 1 4
41 36 21
42 25 46
43 16 40
44 12 32
45 16 7
46 42 28
47 0 34
48 25 28
49 26 26
ITERATION: 26
1 9 4
2 14 48
3 26 34
4 31 4
5 26 12
6 2 9
7 18 47
8 34 23
9 3 37
10 12 23
11 34 48
12 2 29
13 4 8
14 38 14
15 6 47
16 38 23
17 24 44
18 8 44
19 28 25
20 0 22
21 37 36
22 27 15
23 39 17
24 5 49
25 10 4
26 14 11
27 33 5
28 33 41
29 38 35
30 33 22
31 35 25
32 0 36
33 3 47
34 19 33
35 37 44
36 14 18
37 32 49
38 13 4
39 10 19
40 2 5
41 37 22
42 26 47
43 17 41
44 13 33
45 17 8
46 43 29
47 1 35
48 26 29
49 27 27
ITERATION: 27
1 8 3
2 13 47
3 25 33
4 30 3
5 25 11
6 1 8
7 17 46
8 33 22
9 2 36
10 11 22
11 33 47
12 1 28
13 3 7
14 37 13
15 5 46
16 37 22
17 23 43
18 7 43
19 27 24
20 0 23
21 36 35
22 26 14
23 38 16
24 5 48
25 9 3
26 13 10
27 32 4
28 32 40
29 37 34
30 32 21
31 34 24
32 0 35
33 2 46
34 18 32
35 36 43
36 13 17
37 32 49
38 12 3
39 9 18
40 1 4
41 36 21
42 25 46
43 16 40
44 12 32
45 16 7
46 42 28
47 0 34
48 25 28
49 26 26
ITERATION: 28
1 9 2
2 14 46
3 26 32
4 31 2
5 26 10
6 2 7
7 18 45
8 34 21
9 3 35
10 12 21
11 34 46
12 2 27
13 4 6
14 38 12
15 6 45
16 38 21
17 24 42
18 8 42
19 28 23
20 0 24
21 37 34
22 27 13
23 39 15
24 6 47
25 10 2
26 14 9
27 33 3
28 33 39
29 38 33
30 33 20
31 35 23
32 1 35
33 3 45
34 19 31
35 37 42
36 14 16
37 31 49
38 13 2
39 10 17
40 2 3
41 37 20
42 26 45
43 17 39
44 13 31
45 17 6
46 43 27
47 1 35
48 26 27
49 27 25
ITERATION: 29
1 10 2
2 15 46
3 27 32
4 32 2
5 27 10
6 3 7
7 19 45
8 35 21
9 4 35
10 13 21
11 35 46
12 3 27
13 5 6
14 39 12
15 7 45
16 39 21
17 25 42
18 9 42
19 29 23
20 1 23
21 38 34
22 28 13
23 40 15
24 7 47
25 11 2
26 15 9
27 34 3
28 34 39
29 39 33
30 34 20
31 36 23
32 2 35
33 4 45
34 20 31
35 38 42
36 15 16
37 31 49
38 14 2
39 11 17
40 3 3
41 38 20
42 27 45
43 18 39
44 14 31
45 18 6
46 44 27
47 2 35
48 27 27
49 28 25
ITERATION: 30
1 10 3
2 15 47
3 27 33
4 32 3
5 27 11
6 3 8
7 19 46
8 35 22
9 4 36
10 13 22
11 35 47
12 3 28
13 5 7
14 39 13
15 7 46
16 39 22
17 25 43
18 9 43
19 29 24
20 1 24
21 38 35
22 28 14
23 40 16
24 7 48
25 11 3
26 15 10
27 34 4
28 34 40
29 39 34
30 34 21
31 36 24
32 2 36
33 4 46
34 20 32
35 38 43
36 15 17
37 30 48
38 14 3
39 11 18
40 3 4
41 38 21
42 27 46
43 18 40
44 14 32
45 18 7
46 44 28
47 2 36
48 27 28
49 28 26
ITERATION: 31
1 9 2
2 14 46
3 26 32
4 31 2
5 26 10
6 2 7
7 18 45
8 34 21
9 3 35
10 12 21
11 34 46
12 2 27
13 4 6
14 38 12
15 6 45
16 38 21
17 24 42
18 8 42
19 28 23
20 0 23
21 37 34
22 27 13
23 39 15
24 6 47
25 10 2
26 14 9
27 33 3
28 33 39
29 38 33
30 33 20
31 35 23
32 1 35
33 3 45
34 19 31
35 37 42
36 14 16
37 29 47
38 13 2
39 10 17
40 2 3
41 37 20
42 26 45
43 17 39
44 13 31
45 17 6
46 43 27
47 1 35
48 26 27
49 27 25
ITERATION: 32
1 9 3
2 14 47
3 26 33
4 31 3
5 26 11
6 2 8
7 18 46
8 34 22
9 3 36
10 12 22
11 34 47
12 2 28
13 4 7
14 38 13
15 6 46
16 38 22
17 24 43
18 8 43
19 28 24
20 0 23
21 37 35
22 27 14
23 39 16
24 6 48
25 10 3
26 14 10
27 33 4
28 33 40
29 38 34
30 33 21
31 35 24
32 1 36
33 3 46
34 19 32
35 37 43
36 14 17
37 29 48
38 13 3
39 10 18
40 2 4
41 37 21
42 26 46
43 17 40
44 13 32
45 17 7
46 43 28
47 1 36
48 26 28
49 27 26
ITERATION: 33
1 9 2
2 14 46
3 26 32
4 31 2
5 26 10
6 2 7
7 18 45
8 34 21
9 3 35
10 12 21
11 34 46
12 2 27
13 4 6
14 38 12
15 6 45
16 38 21
17 24 42
18 8 42
19 28 23
20 0 24
21 37 34
22 27 13
23 39 15
24 6 47
25 10 2
26 14 9
27 33 3
28 33 39
29 38 33
30 33 20
31 35 23
32 1 35
33 3 45
34 19 31
35 37 42
36 14 16
37 29 47
38 13 2
39 10 17
40 2 3
41 37 20
42 26 45
43 17 39
44 13 31
45 17 6
46 43 27
47 1 35
48 26 27
49 27 25
ITERATION: 34
1 8 2
2 13 46
3 25 32
4 30 2
5 25 10
6 1 7
7 17 45
8 33 21
9 2 35
10 11 21
11 33 46
12 1 27
13 3 6
14 37 12
15 5 45
16 37 21
17 23 42
18 7 42
19 27 23
20 0 24
21 36 34
22 26 13
23 38 15
24 5 47
25 9 2
26 13 9
27 32 3
28 32 39
29 37 33
